Country,Code,Year,Cumulative_CO2_emissions
Afghanistan,AFG,2020,192848747
Africa,,2020,47610744693
Albania,ALB,2020,285502507
Algeria,DZA,2020,4587131635
Andorra,AND,2020,15070878
Angola,AGO,2020,682260326
Anguilla,AIA,2020,3421269
Antigua and Barbuda,ATG,2020,21526783
Argentina,ARG,2020,8431213004
Armenia,ARM,2020,383336064
Aruba,ABW,2020,75920840
Asia,,2020,5.32916E+11
Asia (excl. China & India),,2020,2.42936E+11
Australia,AUS,2020,18635749770
Austria,AUT,2020,5505508535
Azerbaijan,AZE,2020,2503755644
Bahamas,BHS,2020,169518999
Bahrain,BHR,2020,926303201
Bangladesh,BGD,2020,1562305907
Barbados,BRB,2020,54874937
Belarus,BLR,2020,4907842258
Belgium,BEL,2020,12543142370
Belize,BLZ,2020,19062872
Benin,BEN,2020,111665117
Bermuda,BMU,2020,29205480
Bhutan,BTN,2020,19193093
Bolivia,BOL,2020,530154964
Bonaire Sint Eustatius and Saba,BES,2020,30353912
Bosnia and Herzegovina,BIH,2020,954784301
Botswana,BWA,2020,150401660
Brazil,BRA,2020,16238506431
British Virgin Islands,VGB,2020,5499486
Brunei,BRN,2020,360375192
Bulgaria,BGR,2020,3831210012
Burkina Faso,BFA,2020,64321172
Burundi,BDI,2020,13057139
Cambodia,KHM,2020,158243753
Cameroon,CMR,2020,215091700
Canada,CAN,2020,33576743330
Cape Verde,CPV,2020,13286506
Central African Republic,CAF,2020,10543960
Chad,TCD,2020,26057722
Chile,CHL,2020,2903063180
China,CHN,2020,2.35564E+11
Colombia,COL,2020,3399102674
Comoros,COM,2020,5301846
Congo,COG,2020,78480734
Cook Islands,COK,2020,2195919
Costa Rica,CRI,2020,255062078
Cote d'Ivoire,CIV,2020,333932355
Croatia,HRV,2020,1078544258
Cuba,CUB,2020,1614249235
Curacao,CUW,2020,559292713
Cyprus,CYP,2020,293026004
Czechia,CZE,2020,11917740163
Democratic Republic of Congo,COD,2020,193183879
Denmark,DNK,2020,4082633409
Djibouti,DJI,2020,18909622
Dominica,DMA,2020,4806990
Dominican Republic,DOM,2020,747716929
Ecuador,ECU,2020,1197709388
Egypt,EGY,2020,6314498289
El Salvador,SLV,2020,231869645
Equatorial Guinea,GNQ,2020,179475703
Eritrea,ERI,2020,17898960
Estonia,EST,2020,1630194295
Eswatini,SWZ,2020,40689810
Ethiopia,ETH,2020,258571415
Europe,,2020,5.31156E+11
Europe (excl. EU-27),,2020,2.4103E+11
Europe (excl. EU-28),,2020,1.62869E+11
European Union (27),,2020,2.90125E+11
European Union (28),,2020,3.68287E+11
Faeroe Islands,FRO,2020,30636678
Fiji,FJI,2020,49428747
Finland,FIN,2020,3191080737
France,FRA,2020,38728680794
French Guiana,GUF,2020,27490057
French Polynesia,PYF,2020,28783631
Gabon,GAB,2020,258407162
Gambia,GMB,2020,13966136
Georgia,GEO,2020,659381464
Germany,DEU,2020,92635615097
Ghana,GHA,2020,371318619
Greece,GRC,2020,4073671400
Greenland,GRL,2020,33050491
Grenada,GRD,2020,8262881
Guadeloupe,GLP,2020,83818362
Guatemala,GTM,2020,444931134
Guinea,GIN,2020,86235079
Guinea-Bissau,GNB,2020,10094254
Guyana,GUY,2020,100590486
Haiti,HTI,2020,76215378
High-income countries,,2020,9.66097E+11
Honduras,HND,2020,256321315
Hong Kong,HKG,2020,1620287883
Hungary,HUN,2020,5010790354
Iceland,ISL,2020,151823753
India,IND,2020,54416488997
Indonesia,IDN,2020,14399959936
International transport,,2020,42242540325
Iran,IRN,2020,18914438734
Iraq,IRQ,2020,4656535636
Ireland,IRL,2020,2224060565
Israel,ISR,2020,2379692524
Italy,ITA,2020,24739056768
Jamaica,JAM,2020,452855654
Japan,JPN,2020,65625166916
Jordan,JOR,2020,701302305
Kazakhstan,KAZ,2020,13908240442
Kenya,KEN,2020,467027394
Kiribati,KIR,2020,2085306
Kosovo,OWID_KOS,2020,105636749
Kuwait,KWT,2020,2877515699
Kyrgyzstan,KGZ,2020,861769602
Laos,LAO,2020,178015424
Latvia,LVA,2020,950274908
Lebanon,LBN,2020,733434438
Lesotho,LSO,2020,63982252
Liberia,LBR,2020,52517064
Libya,LBY,2020,2136290401
Liechtenstein,LIE,2020,6111118
Lithuania,LTU,2020,1557847258
Low-income countries,,2020,9669658112
Lower-middle-income countries,,2020,1.6547E+11
Luxembourg,LUX,2020,753685965
Macao,MAC,2020,56560635
Madagascar,MDG,2020,96770039
Malawi,MWI,2020,50701387
Malaysia,MYS,2020,6071963519
Maldives,MDV,2020,24911241
Mali,MLI,2020,63318974
Malta,MLT,2020,104591398
Marshall Islands,MHL,2020,3416752
Martinique,MTQ,2020,88273861
Mauritania,MRT,2020,75632597
Mauritius,MUS,2020,115756507
Mayotte,MYT,2020,6517460
Mexico,MEX,2020,20075005664
Micronesia (country),FSM,2020,3713305
Moldova,MDA,2020,1379218804
Mongolia,MNG,2020,787436563
Montenegro,MNE,2020,103621056
Montserrat,MSR,2020,1618456
Morocco,MAR,2020,1737595218
Mozambique,MOZ,2020,177092206
Myanmar,MMR,2020,611490849
Namibia,NAM,2020,76039286
Nauru,NRU,2020,4858262
Nepal,NPL,2020,165884135
Netherlands,NLD,2020,11739971671
New Caledonia,NCL,2020,157007197
New Zealand,NZL,2020,1886568514
Nicaragua,NIC,2020,177396735
Niger,NER,2020,46523337
Nigeria,NGA,2020,3914990643
Niue,NIU,2020,290148
North America,,2020,4.77802E+11
North America (excl. USA),,2020,61078879272
North Korea,PRK,2020,5049468225
North Macedonia,MKD,2020,636095994
Norway,NOR,2020,2632393609
Oceania,,2020,20981298197
Oman,OMN,2020,1251111021
Pakistan,PAK,2020,5162288599
Palau,PLW,2020,10562041
Palestine,PSE,2020,59437670
Panama,PAN,2020,309251109
Papua New Guinea,PNG,2020,169499159
Paraguay,PRY,2020,177914443
Peru,PER,2020,1941850252
Philippines,PHL,2020,3390273723
Poland,POL,2020,27863876203
Portugal,PRT,2020,2614595359
Qatar,QAT,2020,2094572227
Reunion,REU,2020,123867607
Romania,ROU,2020,8493293608
Russia,RUS,2020,1.15344E+11
Rwanda,RWA,2020,28684439
Saint Helena,SHN,2020,379295
Saint Kitts and Nevis,KNA,2020,6339698
Saint Lucia,LCA,2020,14365567
Saint Pierre and Miquelon,SPM,2020,3676592
Saint Vincent and the Grenadines,VCT,2020,6966830
Samoa,WSM,2020,6782410
Sao Tome and Principe,STP,2020,3360735
Saudi Arabia,SAU,2020,15936377001
Senegal,SEN,2020,243298685
Serbia,SRB,2020,2734456327
Seychelles,SYC,2020,13379536
Sierra Leone,SLE,2020,36096233
Singapore,SGP,2020,2157027728
Sint Maarten (Dutch part),SXM,2020,67703530
Slovakia,SVK,2020,3869881084
Slovenia,SVN,2020,851099602
Solomon Islands,SLB,2020,10434984
Somalia,SOM,2020,32889848
South Africa,ZAF,2020,21164298479
South America,,2020,43288718797
South Korea,KOR,2020,18335706556
South Sudan,SSD,2020,38352164
Spain,ESP,2020,14853332896
Sri Lanka,LKA,2020,500280693
Sudan,SDN,2020,446154339
Suriname,SUR,2020,115203031
Sweden,SWE,2020,4987955651
Switzerland,CHE,2020,3022784713
Syria,SYR,2020,1867933805
Taiwan,TWN,2020,9046735646
Tajikistan,TJK,2020,489613510
Tanzania,TZA,2020,243841497
Thailand,THA,2020,7364298189
Timor,TLS,2020,6543008
Togo,TGO,2020,66128454
Tonga,TON,2020,4383586
Trinidad and Tobago,TTO,2020,1569561122
Tunisia,TUN,2020,901511537
Turkey,TUR,2020,10839787738
Turkmenistan,TKM,2020,2434765662
Turks and Caicos Islands,TCA,2020,3930547
Tuvalu,TUV,2020,278925
Uganda,UGA,2020,105594979
Ukraine,UKR,2020,30559156342
United Arab Emirates,ARE,2020,4695477307
United Kingdom,GBR,2020,78161145636
United States,USA,2020,4.16723E+11
Upper-middle-income countries,,2020,5.04295E+11
Uruguay,URY,2020,371228927
Uzbekistan,UZB,2020,6310349345
Vanuatu,VUT,2020,4752294
Venezuela,VEN,2020,7854691960
Vietnam,VNM,2020,3977272058
Wallis and Futuna,WLF,2020,507247
World,OWID_WRL,2020,1.69652E+12
Yemen,YEM,2020,624654156
Zambia,ZMB,2020,247987833
Zimbabwe,ZWE,2020,779383468